# --------------------------------------------------------------------
# USE OF NOAA GML DATA
#
# These data are made freely available to the public and the scientific
# community in the belief that their wide dissemination will lead to
# greater understanding and new scientific insights. To ensure that GML
# receives fair credit for their work please include relevant citation
# text in publications. We encourage users to contact the data providers,
# who can provide detailed information about the measurements and
# scientific insight.  In cases where the data are central to a
# publication, coauthorship for data providers may be appropriate.
#
#
#
# Contact:  Xin Lan (xin.lan@noaa.gov)
#
# File Creation: Thu Dec  5 04:05:10 2024
#
#
# --------------------------------------------------------------------
#
#
# See gml.noaa.gov/ccgg/trends/ for additional details.
#
#
# Uncertainties in the global monthly means are estimated using two
# terms: The first is a bootstrap (resampling) method that varies the
# sites in our network. Each pseudo-network contains the same number of
# sites as our actual NOAA ESRL cooperative global air sampling network,
# but some are repeated and some are excluded. The second term is a
# Monte Carlo method that randomly modifies the data to account for
# measurement uncertainty. In both cases, 100 globally-averaged time
# series are created. Standard deviations of the monthly means are
# calculated, and the two terms (network and analytical) are taken in
# quadrature to give the  reported uncertainties. A default value (-9.9)
# indicates the uncertainty has not yet been calculated for that month.
# Please see Dlugokencky et al., 1994, JGR, vol. 99, 17021-17043, for a
# complete discussion.
#
# CH4 expressed as a mole fraction in dry air, nanomol/mol, abbreviated as ppb
#
# NOTE: In general, the data presented for the last year are subject to change,
# depending on recalibration of the reference gas mixtures used, and other quality
# control procedures. Occasionally, earlier years may also change for the same
# reasons.  Usually these changes are minor.
year,month,decimal,average,average_unc,trend,trend_unc
2020,9,2020.708,1884.53,1.07,1881.57,0.59
2020,10,2020.792,1889.94,0.90,1882.91,0.57
2020,11,2020.875,1891.45,0.70,1884.27,0.55
2020,12,2020.958,1890.96,0.88,1885.66,0.53
2021,1,2021.042,1888.59,1.27,1887.10,0.52
2021,2,2021.125,1886.65,0.97,1888.49,0.50
2021,3,2021.208,1888.00,0.91,1889.90,0.49
2021,4,2021.292,1890.79,0.61,1891.38,0.48
2021,5,2021.375,1891.27,0.72,1892.88,0.47
2021,6,2021.458,1888.08,0.72,1894.38,0.46
2021,7,2021.542,1885.98,0.73,1895.89,0.47
2021,8,2021.625,1892.32,1.22,1897.43,0.47
2021,9,2021.708,1902.41,1.31,1898.93,0.49
2021,10,2021.792,1907.87,0.88,1900.42,0.51
2021,11,2021.875,1909.21,1.23,1901.88,0.54
2021,12,2021.958,1907.96,0.84,1903.31,0.58
2022,1,2022.042,1906.33,0.90,1904.73,0.62
2022,2,2022.125,1906.44,1.14,1906.03,0.66
2022,3,2022.208,1907.79,1.26,1907.30,0.70
2022,4,2022.292,1908.82,0.89,1908.56,0.73
2022,5,2022.375,1907.45,1.02,1909.76,0.75
2022,6,2022.458,1904.82,1.29,1910.92,0.77
2022,7,2022.542,1904.01,1.58,1912.02,0.77
2022,8,2022.625,1908.31,1.70,1913.08,0.76
2022,9,2022.708,1915.03,1.40,1914.08,0.74
2022,10,2022.792,1919.43,1.34,1915.03,0.71
2022,11,2022.875,1922.16,1.01,1915.94,0.66
2022,12,2022.958,1922.10,1.24,1916.80,0.61
2023,1,2023.042,1920.05,1.37,1917.64,0.55
2023,2,2023.125,1918.94,1.01,1918.41,0.50
2023,3,2023.208,1918.74,0.78,1919.14,0.47
2023,4,2023.292,1920.12,0.86,1919.87,0.44
2023,5,2023.375,1919.82,0.53,1920.59,0.43
2023,6,2023.458,1915.44,1.05,1921.28,0.44
2023,7,2023.542,1913.20,1.04,1921.97,0.46
2023,8,2023.625,1917.24,1.16,1922.68,0.49
2023,9,2023.708,1925.02,1.08,1923.38,0.53
2023,10,2023.792,1930.70,1.17,1924.09,0.56
2023,11,2023.875,1931.88,0.83,1924.83,0.59
2023,12,2023.958,1931.14,0.91,1925.61,0.62
2024,1,2024.042,1928.59,0.81,1926.43,0.63
2024,2,2024.125,1926.86,-9.99,1927.26,-9.99
2024,3,2024.208,1928.67,-9.99,1928.13,-9.99
2024,4,2024.292,1930.01,-9.99,1929.05,-9.99
2024,5,2024.375,1926.55,-9.99,1930.01,-9.99
2024,6,2024.458,1921.91,-9.99,1931.00,-9.99
2024,7,2024.542,1921.30,-9.99,1932.01,-9.99
2024,8,2024.625,1926.92,-9.99,1933.04,-9.99
